"","Sample_Name","Al","Si","P","S","K","Ca","Ti","V","Cr","Mn","Fe","Ni","Cu","Zn","As","Rb","Sr","Y","Zr","Nb","Mo","Sn","Ta","Hg","Pb","Th","U","LE","BD","Skeleton","pH","SOC"
"48","GB3-06",3.4018,17.12,0.3625,NA,2.8337,0.6512,0.3299,0.0206,NA,0.0589,3.1749,0.0032,NA,0.007,0.0014,0.0117,0.0047,0.0037,0.0229,0.0015,8e-04,NA,0.0048,NA,0.0028,0.0022,NA,71.98,1.657,18.754,8.17,0
"49","GB3-08",3.2561,17.76,0.3662,NA,2.8478,0.2715,0.3086,0.0157,NA,0.0472,2.5476,0.0024,NA,0.0065,0.001,0.0104,0.0042,0.0034,0.0204,0.0013,9e-04,NA,0.0051,NA,0.0024,0.0024,5e-04,72.52,1.77,18.128,7.44,0.528
"50","GB3-09",3.2487,18.56,0.3817,NA,2.7757,0.2876,0.296,0.0257,NA,0.0425,2.6043,0.0018,NA,0.0068,0.0012,0.0101,0.0047,0.0029,0.0189,0.0014,8e-04,NA,0.0044,NA,0.002,0.0023,NA,71.72,1.826,28.631,7.78,0.39
"51","GB3-11",2.9093,17.03,0.3403,NA,2.6315,0.9211,0.296,0.0263,NA,0.0482,2.5594,0.0019,NA,0.0069,0.0012,0.0102,0.0072,0.0033,0.0198,0.0016,0.0011,NA,0.0053,NA,0.0027,0.0033,NA,73.17,1.504,11.586,8.48,0.57
"52","GLIA-02",4.0607,16.31,0.3445,NA,3.5803,0.1388,0.3597,0.0196,NA,0.0537,3.7564,0.0033,NA,0.0092,0.0066,0.0158,0.0036,0.0036,0.0175,0.0015,8e-04,NA,0.0058,5e-04,0.0033,0.0025,5e-04,71.3,1.597,28.532,6.4,1.018
"53","GLIA-04",3.6819,16.82,0.3437,NA,3.1084,0.1948,0.4115,0.0249,NA,0.0461,3.2973,0.0025,NA,0.0078,0.001,0.0133,0.0038,0.0033,0.0222,0.0017,9e-04,NA,0.0053,NA,0.0028,0.0037,6e-04,72,1.64,20.396,6.48,1.738
"54","O104a",3.2428,20.38,0.3713,NA,3.5495,0.5941,0.1444,0.0113,NA,0.0274,1.1484,NA,NA,0.0021,NA,0.0191,0.0083,0.0034,0.0195,0.0019,6e-04,NA,0.0048,NA,0.0014,0.0032,5e-04,70.46,1.503628319,37.966,6.94,0.431
"55","O104b",2.9234,20.37,0.3712,NA,3.4931,0.5241,0.1232,0.016,NA,0.0198,0.9868,NA,NA,0.0014,NA,0.017,0.0093,0.0045,0.0321,0.0017,7e-04,NA,0.0049,NA,0.0014,0.0071,0.0011,71.09,2.41920354,NA,7,0.87
"56","O108",2.7558,20.03,0.3439,NA,3.4424,0.4836,0.0997,0.0127,NA,0.0201,0.8015,NA,NA,0.0016,4e-04,0.017,0.0081,0.0029,0.0205,0.0015,6e-04,NA,0.0052,NA,8e-04,0.0043,7e-04,71.94,1.651238938,56.317,7.18,0.677
"57","O115",2.8908,20.37,0.3567,NA,2.9714,0.617,0.0805,NA,NA,0.0245,0.9466,NA,NA,0.0018,NA,0.0165,0.0087,0.0023,0.0078,0.0014,7e-04,NA,0.0045,NA,0.0012,0.0031,NA,71.7,1.864070796,43.804,7.06,0.645
"58","O19",2.9164,19.5,0.3326,NA,3.3242,0.5668,0.1211,0.0107,NA,0.0239,1.0459,NA,NA,0.0017,NA,0.0171,0.0084,0.0028,0.0227,0.0016,6e-04,NA,0.0042,NA,0.0014,0.0037,7e-04,72.1,1.630353982,32.424,4.85,1.923
